City,Transport_Mode,Commuters_Count,Percentage_Share
London,Car,1252,30
London,Train,1044,25
London,Bus,835,20
London,Bike,417,10
London,Walk,626,15
Birmingham,Car,1803,40
Birmingham,Train,901,20
Birmingham,Bus,901,20
Birmingham,Bike,451,10
Birmingham,Walk,451,10
Manchester,Car,651,35
Manchester,Train,465,25
Manchester,Bus,465,25
Manchester,Bike,93,5
Manchester,Walk,186,10
Glasgow,Car,688,30
Glasgow,Train,688,30
Glasgow,Bus,459,20
Glasgow,Bike,229,10
Glasgow,Walk,229,10
Leeds,Car,852,40
Leeds,Train,426,20
Leeds,Bus,532,25
Leeds,Bike,106,5
Leeds,Walk,213,10
