Date,City,Transport_Mode,Commuters_Count,Average_Duration_Minutes
2023-01-01,Glasgow,Walk,2831,61
2023-01-08,Leeds,Bus,2873,71
2023-01-15,Manchester,Car,1670,67
2023-01-22,Leeds,Bike,2790,61
2023-01-29,Leeds,Train,3940,21
2023-02-05,Birmingham,Bike,1128,48
2023-02-12,Manchester,Train,602,11
2023-02-19,Manchester,Train,4593,12
2023-02-26,Manchester,Bike,970,110
2023-03-05,Leeds,Walk,4588,65
2023-03-12,Glasgow,Train,306,90
2023-03-19,Manchester,Train,1584,68
2023-03-26,Leeds,Bike,963,11
2023-04-02,Birmingham,Train,2890,11
2023-04-09,Glasgow,Train,663,101
2023-04-16,Birmingham,Bike,4291,63
2023-04-23,Glasgow,Bike,1857,96
2023-04-30,Leeds,Car,1778,110
2023-05-07,London,Walk,3342,105
2023-05-14,Glasgow,Walk,4736,106
2023-05-21,Birmingham,Train,1159,10
2023-05-28,Leeds,Walk,1822,28
2023-06-04,Glasgow,Train,3414,11
2023-06-11,London,Car,3257,62
2023-06-18,London,Bike,2725,53
2023-06-25,Manchester,Bike,2829,99
2023-07-02,Manchester,Bike,1697,41
2023-07-09,Birmingham,Walk,3160,79
2023-07-16,Glasgow,Car,2793,41
2023-07-23,Glasgow,Walk,4991,77
2023-07-30,Manchester,Walk,3727,64
2023-08-06,Glasgow,Car,1463,84
2023-08-13,Glasgow,Car,2081,65
2023-08-20,London,Car,1763,26
2023-08-27,Manchester,Car,1629,47
2023-09-03,Leeds,Bike,2138,33
2023-09-10,Manchester,Bus,3402,78
2023-09-17,Leeds,Bus,2337,107
2023-09-24,London,Car,1406,79
2023-10-01,Birmingham,Bus,4129,95
2023-10-08,Glasgow,Bus,2775,20
2023-10-15,London,Car,1382,25
2023-10-22,Glasgow,Bus,809,106
2023-10-29,Birmingham,Walk,4844,82
2023-11-05,Birmingham,Train,4513,68
2023-11-12,London,Train,3848,79
2023-11-19,Birmingham,Car,4879,89
2023-11-26,Leeds,Bike,763,102
2023-12-03,Birmingham,Car,2098,12
2023-12-10,Glasgow,Bike,3545,29
2023-12-17,Glasgow,Train,3843,68
2023-12-24,Glasgow,Car,1595,45
2023-12-31,Glasgow,Walk,3404,28
2023-12-31,London,Bus,1869,12
