adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/euYIwmwkmz95mnXvufEmbL6ovhZ.jpg,"[28, 12, 18]",558449,en,Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.",4873.155,/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg,2024-11-05,Gladiator II,False,6.762,1936
False,/2C4js9DGb3GzoZeef1ZzhSGLXRO.jpg,"[10749, 18]",1156593,es,Culpa tuya,The love between Noah and Nick seems unwavering despite their parents' attempts to separate them. But his job and her entry into college open up their lives to new relationships that will shake the foundations of both their relationship and the Leister family itself.,4772.66,/1sQA7lfcF9yUyoLYC0e6Zo3jmxE.jpg,2024-12-26,Your Fault,False,7.1,601
False,/cjEcqdRdPQJhYre3HUAc5538Gk8.jpg,"[28, 14, 35]",845781,en,Red One,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",3327.618,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,2024-10-31,Red One,False,7.036,1767
False,/3sh2UA2Q2l7fihgoj1LhFFPTlIM.jpg,"[28, 878, 12, 53]",912649,en,Venom: The Last Dance,"Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",3179.844,/aosm8NMQ3UyoBVpSxyimorCQykC.jpg,2024-10-22,Venom: The Last Dance,False,6.793,2101
False,/3Be8kvRZsvKn1rQFHMLVLEUX9Sn.jpg,"[28, 878, 35, 10751]",939243,en,Sonic the Hedgehog 3,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched in every way, Team Sonic must seek out an unlikely alliance in hopes of stopping Shadow and protecting the planet.",3234.253,/mubt4bnVfpJ5lBMq93DidEuMkJr.jpg,2024-12-19,Sonic the Hedgehog 3,False,7.64,301
False,/tElnmtQ6yz1PjN1kePNl8yMSb59.jpg,"[16, 12, 10751, 35]",1241982,en,Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",2645.233,/m0SbwFNCa9epW1X60deLqTHiP7x.jpg,2024-11-21,Moana 2,False,6.997,735
False,/oHPoF0Gzu8xwK4CtdXDaWdcuZxZ.jpg,"[12, 10751, 16]",762509,en,Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny.",2831.479,/nHhjqeJcaQKOBCd21c1kV2DK5gm.jpg,2024-12-18,Mufasa: The Lion King,False,7.365,408
False,/uKb22E0nlzr914bA9KyA5CVCOlV.jpg,"[18, 10749, 14]",402431,en,Wicked,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",2959.417,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,2024-11-20,Wicked,False,7.41,922
False,/A6vAMO3myroRfBwSZetY4GVqaW4.jpg,"[16, 14, 28, 12]",839033,en,The Lord of the Rings: The War of the Rohirrim,"183 years before the events chronicled in the original trilogy, a sudden attack by Wulf, a clever and ruthless Dunlending lord seeking vengeance for the death of his father, forces Helm Hammerhand and his people to make a daring last stand in the ancient stronghold of the Hornburg. Finding herself in an increasingly desperate situation, Héra, the daughter of Helm, must summon the will to lead the resistance against a deadly enemy intent on their total destruction.",2899.736,/hE9SAMyMSUGAPsHUGdyl6irv11v.jpg,2024-12-05,The Lord of the Rings: The War of the Rohirrim,False,6.9,189
False,/rhc8Mtuo3Kh8CndnlmTNMF8o9pU.jpg,"[28, 53]",1005331,en,Carry-On,An airport security officer races to outsmart a mysterious traveler forcing him to let a dangerous item slip onto a Christmas Eve flight.,1610.008,/sjMN7DRi4sGiledsmllEw5HJjPy.jpg,2024-12-05,Carry-On,False,6.958,1366
False,/dWkdmxIkH9y23s9v1PjQFhTGIwo.jpg,"[28, 18, 53]",1043905,en,Dirty Angels,"During the United States' 2021 withdrawal from Afghanistan, a group of female soldiers posing as medical relief are sent back in to rescue a group of kidnapped teenagers caught between ISIS and the Taliban.",1631.293,/3O3qSGmjRGc10hMwFul8WDxKE5t.jpg,2024-12-11,Dirty Angels,False,6.7,75
False,/au3o84ub27qTZiMiEc9UYzN74V3.jpg,"[28, 878, 53]",1035048,en,Elevation,A single father and two women venture from the safety of their homes to face monstrous creatures to save the life of a young boy.,1645.046,/y5CakxusfCElHau7oredncjtt3P.jpg,2024-11-07,Elevation,False,6.309,228
False,/lntyt4OVDbcxA1l7LtwITbrD3FI.jpg,"[10749, 18]",1010581,es,Culpa mía,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",1498.667,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,2023-06-08,My Fault,False,7.906,3291
False,/A28EE0vgHrB0OdoxWWMfgfyEoYn.jpg,"[80, 53, 28]",1276945,nl,Ferry 2,"After losing his drug empire, Ferry Bouman has found a measure of peace away from Brabant's criminal underworld — until his past catches up to him.",1118.547,/8pwdnL3pEISIN1EGmwZzU6hpNVk.jpg,2024-12-19,Ferry 2,False,5.656,64
False,/6lE2e6j8qbtQR8aHxQNJlwxdmKV.jpg,"[28, 80, 53]",974453,en,Absolution,"An aging ex-boxer gangster working as muscle for a Boston crime boss receives an upsetting diagnosis.  Despite a faltering memory, he attempts to rectify the sins of his past and reconnect with his estranged children. He is determined to leave a positive legacy for his grandson, but the criminal underworld isn’t done with him and won’t loosen their grip willingly.",1012.479,/2MeQG5Vq8rUnRAa463BZe5GNhVk.jpg,2024-10-31,Absolution,False,5.927,206
False,/fzjH7kt1017R9EckLDmWmH5pGhD.jpg,"[28, 27, 53]",970450,en,Werewolves,"A year after a supermoon’s light activated a dormant gene, transforming humans into bloodthirsty werewolves and causing nearly a billion deaths, the nightmare resurfaces as the supermoon rises again. Two scientists attempt to stop the mutation but fail, leaving those exposed to the moonlight to once again become feral werewolves. Chaos engulfs the streets as the scientists struggle to reach one of their family homes, now under siege by the savage creatures.",1514.159,/elKf8Y5yi6Rl6teKsrQg0GAwaQD.jpg,2024-12-04,Werewolves,False,6.0,79
False,/1pmXyN3sKeYoUhu5VBZiDU4BX21.jpg,"[16, 28, 878, 10751]",1184918,en,The Wild Robot,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",978.523,/9w0Vh9eizfBXrcomiaFWTIPdboo.jpg,2024-09-12,The Wild Robot,False,8.4,3783
